COUNTRY,INDUSTRY,CN1_26,CN1_27,CN2_26,CN2_27,USA_26,USA_27,CHN_26,CHN_27
AUS,05T06,1.228899022,3.552999324,1.008180777,0.782746455,0.030024374,0.019678693,2.237079799,4.335745779
AUS,07T08,16.04953797,118.7315344,13.16693672,26.1572489,0.346741716,0.882161416,29.21647469,144.8887833
AUS,10T12,1.458636141,4.174657897,1.196655617,0.919701461,0.256314154,0.170465657,2.655291758,5.094359358
AUS,13T15,0.692072146,1.627021075,0.567771494,0.358442224,0.110543935,0.089430592,1.25984364,1.985463299
AUS,17T18,9.055156024,8.487225331,7.428791193,1.869785197,2.140680299,0.898176508,16.48394722,10.35701053
AUS,20T21,8.661969872,16.84591396,7.106223828,3.711253009,1.20852612,0.974682933,15.7681937,20.55716697
AUS,31T33,0.956725789,1.732075997,0.784891624,0.381586435,0.310186339,0.182660506,1.741617413,2.113662432
AUS,35T39,0.030854931,0.089396084,0.025313185,0.019694478,0.004577558,0.002752495,0.056168116,0.109090562
AUS,41T43,3.435668365,10.46652968,2.818600014,2.305837479,0.775893968,0.474671557,6.254268379,12.77236716
AUS,45T47,119.823662,314.5155939,98.30255408,69.28961808,24.33412958,11.42593489,218.1262161,383.805212
AUS,49T53,44.59036547,71.84626311,36.58164624,15.82815043,3.240281152,1.977753677,81.17201171,87.67441354
AUS,55T56,0.018796329,0.036915422,0.015420386,0.008132683,0.013071349,0.007552527,0.034216715,0.045048105
AUS,58T60,0.447354537,0.345806136,0.367006757,0.076183107,0.01350323,0.004893213,0.814361294,0.421989243
AUS,62T63,1.233679002,0.858193792,1.012102241,0.189065093,0.395718575,0.123910233,2.245781243,1.047258885
AUS,64T66,2.678035768,3.136573193,2.197043152,0.691005352,0.290015739,0.166443972,4.87507892,3.827578545
AUS,69T82,4.64423219,3.920543698,3.810097927,0.863718623,5.244746624,2.076570293,8.454330117,4.784262321
AUS,86T88,0.008113278,0.005357077,0.006656081,0.001180195,0.002578592,0.000765196,0.014769359,0.006537272
AUS,90T96,0.080180445,0.163033994,0.065779516,0.035917339,0.02456783,0.014613011,0.145959961,0.198951333
AUS,97T98,0,0,0,0,0,0,0,0
AUT,9,0,1.82E-06,0,4.01E-07,0,0,0,0.000002221
AUT,16,0.84865445,1.258386964,0.696230599,0.277229981,0.130816144,0.193085645,1.544885049,1.535616945
AUT,19,0.315202933,0.32866945,0.258590439,0.072407795,0.102165709,0.095347982,0.573793372,0.401077245
AUT,22,5.862454972,9.457244365,4.809519986,2.083486043,0.450692129,0.595732803,10.67197496,11.54073041
AUT,23,2.969088999,2.638867034,2.435821332,0.581357785,0.32585266,1.278573696,5.404910331,3.220224819
AUT,24,4.526524695,19.74171395,3.713531462,4.349214622,11.18036526,28.03808009,8.240056157,24.09092857
AUT,25,4.088881599,7.868925222,3.354491909,1.73357008,8.245369102,13.07194747,7.443373508,9.602495302
AUT,26,223.9959701,33.80580997,183.7648391,7.447616929,38.73785383,5.147394095,407.7608092,41.2534269
AUT,27,26.40592302,62.64404478,21.66324775,13.8008481,5.286967065,12.52567789,48.06917077,76.44489288
AUT,28,15.80704266,17.56246263,12.96799514,3.869112856,4.021298091,19.49424536,28.7750378,21.43157549
AUT,29,1.841973962,5.445638984,1.511143476,1.199706001,0.766802715,1.583799297,3.353117438,6.645344985
AUT,30,1.252688007,0.367838589,1.027697105,0.081036985,0.234804954,0.075229435,2.280385112,0.448875574
AUT,61,3.190818319,0.515221311,2.617726626,0.113506257,0.559204898,0.078429688,5.808544945,0.628727568
AUT,68,0.135219481,0.084120975,0.110933184,0.018532341,0.043497273,0.023206257,0.246152665,0.102653316
AUT,84,0.059458032,0.048171955,0.048778984,0.010612562,0.029154312,0.018209627,0.108237016,0.058784517
AUT,85,0.746362019,0.499078744,0.612310553,0.109949955,0.273589882,0.086945107,1.358672572,0.609028699
AUT,01T03,0.018921503,0.019081962,0.015523078,0.004203867,0.005062449,0.007177013,0.034444581,0.023285829
AUT,05T06,0.045819727,0.044363745,0.037590207,0.009773591,0.014556425,0.042964514,0.083409934,0.054137336
AUT,07T08,0.047131033,0.034443328,0.038665993,0.007588066,0.008607776,0.014415395,0.085797026,0.042031394
AUT,10T12,0.807799882,0.384301061,0.662713777,0.084663763,0.182945362,0.146273076,1.470513659,0.468964824
AUT,13T15,0.194954553,0.167657752,0.159939449,0.03693598,0.055989225,0.029674235,0.354894002,0.204593732
AUT,17T18,3.384453822,4.500219619,2.776583935,0.991424606,0.297896173,0.424605085,6.161037757,5.491644225
AUT,20T21,6.142923451,9.068564211,5.039614504,1.99785754,2.466007735,2.003835221,11.18253796,11.06642175
AUT,31T33,10.61905107,5.568382579,8.711800531,1.22674713,2.389033736,2.151196949,19.3308516,6.795129709
AUT,35T39,0.411471576,0.485263781,0.337568609,0.106906439,0.096706194,0.09863576,0.749040185,0.59217022
AUT,41T43,0.966550888,1.461616969,0.792952071,0.322002735,0.246395276,0.443721814,1.759502959,1.783619704
AUT,45T47,54.64588363,22.78533113,44.83112803,5.019741223,11.12646413,8.219299534,99.47701166,27.80507235
AUT,49T53,7.524689764,5.415141514,6.173206613,1.192987231,1.56253799,1.072326469,13.69789638,6.608128745
AUT,55T56,0.203909798,0.111406244,0.167286274,0.024543445,0.0514284,0.031114207,0.371196072,0.135949689
AUT,58T60,1.270724391,0.322211598,1.042494038,0.070985093,0.205637829,0.036352811,2.313218429,0.393196691
AUT,62T63,1.320116926,0.661418286,1.083015352,0.145714303,0.69462849,0.231982239,2.403132278,0.807132589
AUT,64T66,0.462741447,0.461038646,0.379630078,0.1015695,0.080743538,0.063861062,0.842371525,0.562608146
AUT,69T82,6.460286989,4.223737528,5.299977489,0.93051399,2.497697122,1.235274957,11.76026448,5.154251518
AUT,86T88,0.518593544,0.16314554,0.425450776,0.035941913,0.108414264,0.03168701,0.94404432,0.199087453
AUT,90T96,0.167747718,0.089291406,0.137619138,0.019671417,0.049377018,0.027357816,0.305366856,0.108962823
AUT,97T98,0,0,0,0,0,0,0,0
BEL,9,0,5.45E-07,0,1.20E-07,0,0,0,0.000000665
BEL,16,0.264204727,0.435879146,0.216751842,0.096026716,0.031552074,0.046069008,0.480956569,0.531905862
BEL,19,1.87769589,3.103626146,1.540449513,0.683746926,1.212526213,2.311088799,3.418145403,3.787373072
BEL,22,4.917395955,8.47058279,4.034199706,1.866118748,0.450025399,0.543940526,8.951595661,10.33670154
BEL,23,0.845570368,0.747554942,0.693700438,0.16469071,0.178669928,0.354666068,1.539270806,0.912245652
BEL,24,17.71952005,101.7283467,14.53697917,22.41134756,8.107532837,20.96161321,32.25649922,124.1396943
BEL,25,3.478839411,7.416398546,2.85401726,1.633875817,2.094553919,3.705370793,6.332856671,9.050274363
BEL,26,35.76604116,6.297215382,29.34222788,1.387313244,3.3837424,0.689480671,65.10826904,7.684528626
BEL,27,5.094799948,12.26757163,4.179740789,2.702617515,0.781331577,2.036540659,9.274540737,14.97018915
BEL,28,3.259909903,4.293135074,2.674408913,0.945802674,0.800568516,4.10414446,5.934318816,5.238937748
BEL,29,1.604267744,2.53362955,1.316130838,0.558173354,0.464849138,0.519245371,2.920398582,3.091802904
BEL,30,0.72062759,0.213462609,0.591198195,0.047027057,0.179628859,0.103797179,1.311825785,0.260489666
BEL,61,1.500820249,0.384692848,1.231263186,0.084750076,0.172715142,0.063572448,2.732083435,0.469442924
BEL,68,0.004392406,0.004947796,0.003603501,0.001090028,0.005494069,0.00221027,0.007995907,0.006037824
BEL,84,0.130948108,0.098599468,0.107428977,0.021722037,0.378243825,0.120894415,0.238377085,0.120321505
BEL,85,0.247827429,0.185969301,0.203316013,0.040970121,0.797154701,0.258200809,0.451143442,0.226939422
BEL,01T03,0.010056125,0.027172486,0.008249979,0.005986257,0.004994921,0.002203511,0.018306104,0.033158743
BEL,05T06,0,0,0,0,0,0,0,0
BEL,07T08,0.012365701,0.035118606,0.010144741,0.007736834,0.001260974,0.003016242,0.022510442,0.04285544
BEL,10T12,0.918965033,0.980400864,0.753912945,0.215988023,0.27844347,0.258481679,1.672877978,1.196388887
BEL,13T15,0.510549454,0.772828443,0.418851456,0.170258609,0.077419794,0.064892943,0.92940091,0.943087052
BEL,17T18,1.324669891,2.135761707,1.086750575,0.47052075,0.106965779,0.196780585,2.411420466,2.606282457
BEL,20T21,14.21146807,23.94591104,11.65899611,5.27542374,8.251873329,6.304046963,25.87046418,29.22133478
BEL,31T33,3.13978986,2.476227811,2.57586321,0.545527416,0.709013328,0.460955958,5.71565307,3.021755227
BEL,35T39,0.752672339,1.935536799,0.617487499,0.426410035,0.407757489,0.48447721,1.370159838,2.361946834
BEL,41T43,2.659997881,2.306734448,2.182244986,0.508187041,0.810954015,0.945120752,4.842242867,2.814921489
BEL,45T47,27.7780448,23.77837121,22.78892755,5.238513738,5.190326417,5.925246118,50.56697235,29.01688495
BEL,49T53,14.52700106,14.25945926,11.91785732,3.141441967,3.221064119,1.893202979,26.44485838,17.40090123
BEL,55T56,0.027047099,0.021195685,0.022189264,0.004669533,0.016410842,0.011104018,0.049236363,0.025865218
BEL,58T60,0.219949155,0.209128763,0.180444858,0.046072285,0.082627747,0.046520181,0.400394013,0.255201048
BEL,62T63,2.314656711,0.721556703,1.898929333,0.158963146,1.038229467,0.332354733,4.213586044,0.880519849
BEL,64T66,1.183019953,1.250040257,0.970541886,0.275391153,0.545220472,0.364755305,2.153561839,1.52543141
BEL,69T82,13.59022122,8.804255219,11.14932922,1.939628729,37.92385153,15.26727712,24.73955044,10.74388395
BEL,86T88,0.037380709,0.037373841,0.030666891,0.008233675,0.085070923,0.031515356,0.0680476,0.045607516
BEL,90T96,0.085896519,0.071898508,0.070468946,0.01583966,0.178708924,0.084493243,0.156365465,0.087738168
BEL,97T98,0,0,0,0,0,0,0,0
BGR,9,0,6.29E-07,0,1.39E-07,0,0,0,0.000000768
BGR,16,0.012695337,0.026454925,0.010415172,0.005828174,0.001929206,0.003569193,0.023110509,0.032283099
BGR,19,0.017966777,0.030573967,0.014739827,0.006735623,0.018141444,0.024473934,0.032706604,0.03730959
BGR,22,0.144218036,0.189963303,0.11831554,0.041850023,0.05391291,0.054611763,0.262533576,0.231813326
BGR,23,0.089556554,0.092358019,0.073471615,0.02034701,0.038620752,0.156465276,0.163028169,0.112705029
BGR,24,9.668729176,57.53672035,7.932162623,12.67567477,0.383088478,0.996899376,17.6008918,70.21239512
BGR,25,0.305965413,0.578842383,0.251012038,0.12752235,0.328286278,0.449456817,0.556977451,0.706364733
BGR,26,7.610269172,1.109931719,6.243415404,0.244524425,2.555556642,0.319274855,13.85368458,1.354456144
BGR,27,1.385532092,4.73532019,1.13668153,1.043218631,0.244498644,0.6577103,2.522213622,5.778538821
BGR,28,0.466223225,0.570258249,0.382486506,0.125631215,0.184958815,0.674481354,0.848709731,0.695889464
BGR,29,0.731640021,0.260098103,0.600232721,0.057301128,0.241937646,0.053392531,1.331872742,0.317399231
BGR,30,0.007302977,0.024756757,0.005991315,0.005454058,0.001547057,0.001551157,0.013294292,0.030210815
BGR,61,0.085856389,0.046504413,0.070436024,0.010245193,0.013536254,0.002239116,0.156292413,0.056749606
BGR,68,0.031230114,0.02513023,0.025620983,0.005536336,0.011368945,0.006825664,0.056851097,0.030666566
BGR,84,0.007088565,0.005623899,0.005815413,0.001238978,0.003269706,0.001035218,0.012903978,0.006862877
BGR,85,0.010382764,0.003466774,0.008517952,0.000763751,0.003396855,0.000822243,0.018900716,0.004230525
BGR,01T03,0.020710551,0.034850207,0.016990801,0.007677704,0.00499454,0.004854908,0.037701352,0.042527911
BGR,05T06,0.013002382,0.006915066,0.01066707,0.001523429,0.00476435,0.008560933,0.023669452,0.008438495
BGR,07T08,0.191284779,1.309639158,0.156928791,0.288521138,0.008821623,0.031334816,0.34821357,1.598160296
BGR,10T12,0.053739903,0.10792635,0.044087868,0.023776804,0.016396857,0.01626166,0.097827771,0.131703154
BGR,13T15,0.116054027,0.143448773,0.09520997,0.031602601,0.015539241,0.008732828,0.211263997,0.175051374
BGR,17T18,0.058870757,0.098306922,0.048297187,0.021657588,0.003533479,0.004172391,0.107167944,0.11996451
BGR,20T21,0.157720952,0.265860275,0.129393245,0.058570568,0.243549278,0.201473354,0.287114197,0.324430843
BGR,31T33,0.172989416,0.346938332,0.141919393,0.076432536,0.047120529,0.024297338,0.314908809,0.423370868
BGR,35T39,0.169721465,0.517612196,0.139238388,0.114032983,0.034378015,0.028722006,0.308959853,0.631645179
BGR,41T43,0.190190485,0.153156461,0.156031039,0.033741261,0.064753972,0.049837824,0.346221524,0.186897722
BGR,45T47,2.30251976,4.696689094,1.888972257,1.034707976,0.622004707,0.413932016,4.191492017,5.73139707
BGR,49T53,1.319094441,1.554141849,1.082176513,0.342386506,0.178602062,0.087925893,2.401270954,1.896528355
BGR,55T56,0.020675757,0.017510937,0.016962257,0.003857761,0.006666253,0.003877802,0.037638014,0.021368698
BGR,58T60,0.021142499,0.015233022,0.017345169,0.003355924,0.003028139,0.001301538,0.038487668,0.018588946
BGR,62T63,0.212495332,0.09767169,0.17432979,0.021517643,0.118048992,0.031565064,0.386825122,0.119189333
BGR,64T66,0.036644733,0.034340742,0.030063101,0.007565466,0.017255389,0.020835263,0.066707834,0.041906208
BGR,69T82,0.562042379,0.439767416,0.461095918,0.096883324,0.334721411,0.12490934,1.023138297,0.53665074
BGR,86T88,0.057307376,0.011579346,0.047014599,0.002550997,0.019497357,0.003529692,0.104321975,0.014130343
BGR,90T96,0.053912571,0.016538456,0.044229523,0.003643518,0.01879362,0.005252242,0.098142094,0.020181974
BGR,97T98,0,0,0,0,0,0,0,0
BRA,9,0,3.74E-06,0,8.23E-07,0,0,0,0.000004563
BRA,16,0.867970363,1.797472975,0.712077249,0.395993771,0.510935897,1.188871993,1.580047612,2.193466746
BRA,19,0.610946813,1.123994842,0.501216797,0.247622613,0.865516762,2.833734463,1.11216361,1.371617455
BRA,22,1.122971432,2.283781255,0.92127847,0.503130318,1.203533063,1.759010865,2.044249902,2.786911573
BRA,23,0.963503057,0.991145937,0.790451651,0.218355226,1.577879153,8.029496367,1.753954708,1.209501163
BRA,24,40.52218003,231.5207479,33.24413333,51.00536988,51.04340937,126.3517067,73.76631336,282.5261178
BRA,25,0.941957855,3.793140982,0.772776106,0.835651062,5.739464073,9.527620848,1.714733961,4.628792044
BRA,26,15.42930602,2.637340127,12.65810245,0.581021398,8.492002554,1.692720192,28.08740847,3.218361525
BRA,27,3.649940462,14.4852543,2.994387451,3.19118593,3.130458863,10.82558302,6.644327913,17.67644023
BRA,28,1.367138238,3.147141225,1.121591332,0.693333551,2.092844341,14.15735324,2.48872957,3.840474776
BRA,29,0.305946571,1.028238963,0.25099658,0.226527035,0.542301553,1.012344875,0.556943151,1.254765998
BRA,30,0.412406764,0.199721657,0.338335831,0.043999845,0.320346441,0.198542203,0.750742595,0.243721502
BRA,61,0.027593176,0.026805598,0.022637262,0.00590543,0.012257342,0.007701502,0.050230438,0.032711028
BRA,68,0.065525449,0.078601821,0.053756653,0.017316439,0.464783846,0.058422665,0.119282102,0.09591826
BRA,84,0.360160417,0.582684018,0.295473267,0.128368685,0.902381761,0.523071845,0.655633684,0.711052703
BRA,85,0.088517909,0.064601573,0.072619518,0.014232103,0.389622692,0.124406761,0.161137427,0.078833676
BRA,01T03,1.490289795,5.218033275,1.222624069,1.149563137,0.005977656,0.006479906,2.712913864,6.367596412
BRA,05T06,0.776819127,3.401082632,0.637297367,0.749278323,0.003035233,0.01088683,1.414116494,4.150360955
BRA,07T08,4.06185621,30.05953218,3.332320455,6.622290101,0.392977579,1.113473306,7.394176665,36.68182228
BRA,10T12,1.115669579,1.961670633,0.915288077,0.432167472,0.558034269,0.574517941,2.030957656,2.393838105
BRA,13T15,2.891059705,2.394195575,2.371806606,0.527455237,0.58404337,0.264294642,5.262866311,2.921650812
BRA,17T18,26.86328733,41.31457863,22.03846646,9.101842421,2.421250286,4.798406488,48.90175379,50.41642105
BRA,20T21,5.71781571,11.49725123,4.690858874,2.532911443,5.546824905,5.213916029,10.40867458,14.03016267
BRA,31T33,1.3273797,1.649318198,1.088973685,0.36335441,0.421535914,0.614863548,2.416353385,2.012672608
BRA,35T39,0.002160597,0.002075478,0.00177254,0.00045724,0.012352731,0.002714147,0.003933137,0.002532718
BRA,41T43,0.00363821,0.002442678,0.002984764,0.000538136,0.019265914,0.01718328,0.006622974,0.002980814
BRA,45T47,13.09210827,23.73747792,10.7406806,5.229504709,7.809334089,13.12085591,23.83278887,28.96698263
BRA,49T53,14.16433904,28.91188228,11.62033176,6.369456141,6.844396801,12.62712789,25.7846708,35.28133842
BRA,55T56,0.006907893,0.008783974,0.00566719,0.001935161,0.018810904,0.012755621,0.012575083,0.010719135
